member_id,employee_number,nrc,first_name,last_name,gender,date_of_birth,date_joined_employer,date_joined_scheme,employment_status,department,sector,retirement_age,normal_retirement_date,current_age,service_years,pensionable_service_years,years_to_retirement,basic_salary,housing_allowance,transport_allowance,total_monthly_salary,pensionable_salary,annual_pensionable_salary,employee_contribution_rate,employer_contribution_rate,employee_monthly_contribution,employer_monthly_contribution,total_monthly_contribution,ee_accumulated_contributions,er_accumulated_contributions,total_accumulated_contributions,investment_return_assumption,salary_growth_assumption,inflation_assumption,accrual_rate,withdrawal_rate,disability_rate,spouse_percentage,mortality_table,benefit_formula_type,pension_type,projected_final_salary,projected_pension_benefit,last_valuation_date,status
MBR0000011,EMP000011,813385/85/5,Member11,Surname22,Male,1996-01-04,2022-04-29,2022-08-20,Active,Research & Analytics,Parastatal,60.0,2056-04-28,30.0,4.0,3.67,30.0,3827.0,470.88,222.29,4520.17,3265.09,39181.08,0.05,0.08,163.25,261.21,424.46,6436.12,12995.19,19431.31,0.0904,0.0557,0.0595,0.02,0.0271,0.004,0.6,SAPS S2,Hybrid,Hybrid,16600.1,11288.07,2026-12-31,Active
MBR0000012,EMP000012,850327/51/7,Member12,Surname193,Male,2004-06-14,2024-04-29,2024-11-06,Active,Human Resources,Parastatal,60.0,2064-04-28,22.0,2.0,1.93,38.0,55196.0,6340.2,6019.14,67555.34,54390.03,652680.36,0.1,0.12,5439.0,6526.8,11965.8,145128.75,165570.81,310699.56,0.0934,0.0454,0.0661,0.02,0.028,0.0031,0.58,SAPS S2,Hybrid,Hybrid,293936.92,235149.54,2026-12-31,Active
MBR0000013,EMP000013,131632/28/5,Member13,Surname347,Male,1990-06-16,2017-04-29,2017-09-09,Active,Risk Management,Private,60.0,2050-04-29,36.0,9.0,8.87,24.0,6428.0,1557.69,733.72,8719.41,5927.49,71129.88,0.07,0.1,414.92,592.75,1007.67,51059.15,67924.27,118983.42,0.0941,0.0613,0.069,0.02,0.024,0.0069,0.52,PA(90),DB,Defined Benefit,24716.49,16312.88,2026-12-31,Active
MBR0000014,EMP000014,928105/81/5,Member14,Surname246,Male,1981-11-24,2008-04-29,2008-06-18,Active,Operations,Parastatal,65.0,2047-04-29,44.0,18.0,17.28,21.0,37810.0,8290.49,4394.35,50494.84,33575.56,402906.72,0.07,0.08,2350.29,2686.04,5036.33,531251.83,503899.95,1035151.78,0.0869,0.0629,0.064,0.02,0.0479,0.003,0.52,SAPS S2,Hybrid,Hybrid,120882.61,94288.44,2026-12-31,Active
MBR0000015,EMP000015,651407/52/2,Member15,Surname188,Female,1973-05-29,1995-04-30,1996-02-06,Deferred,Investment,Private,65.0,2038-04-29,53.0,31.0,30.96,12.0,46950.0,6600.24,3544.42,57094.66,42121.94,505463.28,0.06,0.08,2527.32,3369.76,5897.08,1104175.41,1222414.54,2326589.95,0.0815,0.0692,0.0666,0.025,0.0415,0.0096,0.52,SAPS S2,DC,Defined Contribution,94019.03,101070.46,2026-12-31,Active
MBR0000016,EMP000016,699173/98/1,Member16,Surname333,Female,1999-09-14,2022-04-29,2022-11-29,Active,Actuarial,Public,65.0,2064-04-28,27.0,4.0,3.86,38.0,33629.0,4852.79,2760.89,41242.68,30815.84,369790.08,0.07,0.15,2157.11,4622.38,6779.49,115191.5,187314.08,302505.58,0.0999,0.0752,0.0585,0.025,0.0227,0.0092,0.5,A1967-70,DB,Defined Benefit,484580.27,508809.28,2026-12-31,Active
MBR0000017,EMP000017,510574/27/1,Member17,Surname63,Male,1968-01-21,1997-04-29,1997-07-10,Retired,Technology,Private,65.0,2033-04-28,58.0,29.0,27.56,7.0,3180.0,342.64,293.88,3816.52,3085.31,37023.72,0.06,0.12,185.12,370.24,555.36,53012.2,144354.42,197366.62,0.0978,0.0709,0.0709,0.025,0.0424,0.007,0.64,A1967-70,DC,Defined Contribution,4983.58,4485.22,2026-12-31,Active
MBR0000018,EMP000018,501885/22/2,Member18,Surname473,Female,2002-08-18,2025-04-29,2025-08-05,Deferred,Actuarial,Parastatal,65.0,2067-04-29,24.0,1.0,0.93,41.0,6057.0,1165.65,320.81,7543.46,5951.74,71420.88,0.08,0.08,476.14,476.14,952.28,4780.57,4990.4,9770.97,0.0994,0.0583,0.0735,0.02,0.0373,0.0076,0.61,PA(90),Hybrid,Hybrid,60758.16,51036.85,2026-12-31,Inactive
MBR0000019,EMP000019,233131/30/1,Member19,Surname286,Male,1985-04-26,2011-04-30,2011-09-24,Retired,Human Resources,Public,65.0,2050-04-29,41.0,15.0,14.35,24.0,3670.0,534.74,293.43,4498.17,3455.85,41470.2,0.08,0.1,276.47,345.59,622.06,47948.85,55180.1,103128.95,0.0876,0.0527,0.0511,0.02,0.0411,0.0072,0.61,PMA92,DC,Defined Contribution,11854.02,9246.14,2026-12-31,Active
MBR0000020,EMP000020,169880/34/5,Member20,Surname167,Female,1990-04-12,2022-04-29,2022-10-03,Retired,Actuarial,Private,65.0,2055-04-29,36.0,4.0,3.67,29.0,35382.0,8242.61,4050.32,47674.93,32747.63,392971.56,0.07,0.12,2292.33,3929.72,6222.05,101865.31,214082.27,315947.58,0.0848,0.0446,0.0522,0.025,0.0294,0.0079,0.5,A1967-70,Hybrid,Hybrid,116072.81,95760.07,2026-12-31,Active
MBR0000021,EMP000021,475977/84/8,Member21,Surname494,Female,1987-06-15,2012-04-29,2012-06-24,Active,Investment,Public,65.0,2052-04-28,39.0,14.0,13.38,26.0,86491.0,21563.91,8999.16,117054.07,77551.66,930619.92,0.08,0.12,6204.13,9306.2,15510.33,995533.08,1651550.06,2647083.14,0.0703,0.0484,0.0658,0.0167,0.0452,0.0099,0.52,A1967-70,Hybrid,Hybrid,265029.01,177039.38,2026-12-31,Active
MBR0000022,EMP000022,466125/69/7,Member22,Surname381,Male,1990-09-28,2012-04-29,2013-01-29,Retired,Risk Management,Private,65.0,2055-04-29,36.0,14.0,12.68,29.0,3753.0,885.95,199.38,4838.33,3321.13,39853.56,0.06,0.1,199.27,332.11,531.38,34634.94,55644.73,90279.67,0.0725,0.0497,0.0753,0.02,0.031,0.0063,0.56,PA(90),DC,Defined Contribution,13557.41,11659.37,2026-12-31,Active
MBR0000023,EMP000023,721719/49/4,Member23,Surname154,Male,1982-01-23,2009-04-29,2010-03-05,Active,Risk Management,Parastatal,65.0,2047-04-29,44.0,17.0,16.32,21.0,37613.0,5682.9,3193.99,46489.89,34969.24,419630.88,0.06,0.1,2098.15,3496.92,5595.07,499474.58,750704.49,1250179.07,0.0753,0.0536,0.0557,0.0167,0.0202,0.0042,0.62,SAPS S2,DC,Defined Contribution,104683.25,66431.99,2026-12-31,Active
MBR0000024,EMP000024,673307/40/1,Member24,Surname62,Female,1970-03-17,1995-04-30,1995-10-21,Active,Client Services,Parastatal,65.0,2035-04-29,56.0,31.0,28.03,9.0,122069.0,26525.69,13510.12,162104.81,105847.94,1270175.28,0.08,0.1,8467.84,10584.79,19052.63,3216948.05,4180255.76,7397203.81,0.0991,0.0794,0.0586,0.02,0.0433,0.0059,0.67,PA(90),Hybrid,Hybrid,210534.92,168427.94,2026-12-31,Active
MBR0000025,EMP000025,917034/30/1,Member25,Surname311,Female,1994-05-31,2025-04-29,2026-02-12,Active,Operations,Private,55.0,2049-04-28,32.0,1.0,0.99,23.0,130205.0,29086.16,6847.21,166138.37,117953.41,1415440.92,0.05,0.08,5897.67,9436.27,15333.94,75734.73,122894.58,198629.31,0.0932,0.0746,0.0722,0.025,0.0201,0.0061,0.62,A1967-70,DC,Defined Contribution,617145.74,370287.44,2026-12-31,Active
MBR0000026,EMP000026,797757/46/5,Member26,Surname69,Male,1973-12-08,2006-04-29,2006-12-30,Active,Legal & Compliance,Parastatal,60.0,2034-04-29,52.0,20.0,19.15,8.0,30440.0,4408.98,2779.85,37628.83,27686.43,332237.16,0.06,0.15,1661.19,4152.96,5814.15,348864.84,831181.36,1180046.2,0.0803,0.0687,0.0742,0.025,0.0499,0.0076,0.6,PMA92,DC,Defined Contribution,47110.04,32977.03,2026-12-31,Active
MBR0000027,EMP000027,375408/57/8,Member27,Surname371,Female,1995-05-02,2022-04-29,2022-06-17,Active,Finance,Public,60.0,2055-04-29,31.0,4.0,3.84,29.0,4009.0,673.48,378.52,5061.0,3614.09,43369.08,0.07,0.15,252.99,542.11,795.1,13367.41,26446.54,39813.95,0.0785,0.0759,0.0571,0.02,0.0396,0.0044,0.54,SAPS S2,Hybrid,Hybrid,30156.73,19903.44,2026-12-31,Active
MBR0000028,EMP000028,941187/48/2,Member28,Surname18,Male,1989-12-16,2025-04-29,2025-08-10,Active,Technology,Parastatal,65.0,2055-04-29,36.0,1.0,1.0,29.0,17405.0,2983.89,2082.14,22471.03,16555.46,198665.52,0.08,0.15,1324.44,2483.32,3807.76,17721.58,26047.2,43768.78,0.0869,0.0441,0.0696,0.025,0.0231,0.0023,0.54,PA(90),Hybrid,Hybrid,57871.14,43403.35,2026-12-31,Active
MBR0000029,EMP000029,469120/48/5,Member29,Surname390,Male,1993-04-24,2015-04-30,2015-08-22,Active,Research & Analytics,Public,55.0,2048-04-28,33.0,11.0,10.83,22.0,4922.0,1007.67,317.43,6247.1,4406.72,52880.64,0.07,0.1,308.47,440.67,749.14,32601.48,49142.34,81743.82,0.0959,0.04,0.0652,0.02,0.0278,0.0046,0.54,PMA92,DB,Defined Benefit,10443.57,6892.76,2026-12-31,Active
MBR0000030,EMP000030,718720/85/4,Member30,Surname3,Female,1990-08-05,2014-04-29,2014-08-27,Active,Risk Management,Public,65.0,2055-04-29,36.0,12.0,11.82,29.0,33823.0,4145.62,1803.31,39771.93,29450.73,353408.76,0.1,0.08,2945.07,2356.06,5301.13,371218.26,275663.57,646881.83,0.0733,0.0648,0.0572,0.02,0.0386,0.0033,0.63,PA(90),DB,Defined Benefit,181915.33,149170.57,2026-12-31,Active
MBR0000031,EMP000031,860713/73/3,Member31,Surname369,Male,1993-11-30,2019-04-30,2019-10-12,Active,Research & Analytics,Parastatal,65.0,2059-04-29,32.0,7.0,6.52,33.0,30846.0,4557.8,3267.98,38671.78,28998.64,347983.68,0.06,0.1,1739.92,2899.86,4639.78,135492.02,202481.11,337973.13,0.0709,0.0539,0.0506,0.0167,0.0467,0.0068,0.52,PA(90),DC,Defined Contribution,163967.58,109530.34,2026-12-31,Active
MBR0000032,EMP000032,270788/11/1,Member32,Surname298,Female,2002-08-25,2022-04-29,2022-10-31,Retired,Technology,Public,65.0,2067-04-29,24.0,4.0,3.69,41.0,51657.0,9695.8,3041.76,64394.56,50861.24,610334.88,0.1,0.1,5086.12,5086.12,10172.24,256027.18,221984.69,478011.87,0.0715,0.0638,0.0588,0.02,0.0462,0.004,0.6,SAPS S2,Hybrid,Hybrid,642164.61,577948.15,2026-12-31,Active
MBR0000033,EMP000033,713777/27/8,Member33,Surname429,Male,1972-02-26,2007-04-30,2008-01-19,Deferred,Technology,Parastatal,65.0,2037-04-28,54.0,19.0,18.83,11.0,19801.0,3508.49,1007.33,24316.82,19195.17,230342.04,0.07,0.1,1343.66,1919.52,3263.18,256611.33,505863.9,762475.23,0.0819,0.0673,0.0545,0.025,0.0264,0.0058,0.62,A1967-70,DB,Defined Benefit,39295.57,29471.68,2026-12-31,Active
MBR0000034,EMP000034,663992/38/3,Member34,Surname304,Male,1987-04-24,2024-04-29,2025-01-24,Retired,Actuarial,Parastatal,65.0,2052-04-28,39.0,2.0,1.92,26.0,5849.0,1378.0,646.84,7873.84,5671.86,68062.32,0.05,0.1,283.59,567.19,850.78,7469.35,11016.05,18485.4,0.0994,0.0551,0.0716,0.025,0.0323,0.0068,0.66,PMA92,DC,Defined Contribution,22874.93,16012.45,2026-12-31,Active
MBR0000035,EMP000035,107723/52/1,Member35,Surname479,Male,1990-06-13,2020-04-29,2020-09-19,Active,Technology,Public,60.0,2050-04-29,36.0,6.0,5.79,24.0,16214.0,3943.81,1087.18,21244.99,14022.49,168269.88,0.08,0.15,1121.8,2103.37,3225.17,73600.92,133396.01,206996.93,0.0756,0.0609,0.0641,0.02,0.0349,0.0029,0.54,A1967-70,DB,Defined Benefit,57944.46,34766.68,2026-12-31,Active
MBR0000036,EMP000036,571624/75/6,Member36,Surname148,Female,1991-12-16,2015-04-30,2016-03-24,Active,Client Services,Parastatal,65.0,2057-04-28,34.0,11.0,10.31,31.0,7764.0,936.87,553.67,9254.54,7243.31,86919.72,0.05,0.12,362.17,869.2,1231.37,50039.12,116678.66,166717.78,0.075,0.0501,0.0548,0.025,0.0321,0.0081,0.63,PA(90),DC,Defined Contribution,32967.61,34615.99,2026-12-31,Active
MBR0000037,EMP000037,166883/89/1,Member37,Surname388,Female,1987-09-14,2021-04-29,2022-03-22,Active,Legal & Compliance,Public,60.0,2047-04-29,39.0,5.0,4.76,21.0,7232.0,1171.84,589.34,8993.18,6413.26,76959.12,0.08,0.15,513.06,961.99,1475.05,35395.91,54009.71,89405.62,0.0859,0.0499,0.0573,0.0167,0.0347,0.0062,0.59,SAPS S2,DB,Defined Benefit,17831.4,7742.39,2026-12-31,Active
MBR0000038,EMP000038,228297/82/7,Member38,Surname371,Male,1989-09-11,2022-04-29,2023-04-11,Active,Research & Analytics,Parastatal,65.0,2054-04-29,37.0,4.0,3.79,28.0,9962.0,1306.59,674.66,11943.25,8512.61,102151.32,0.06,0.15,510.76,1276.89,1787.65,22766.33,63941.65,86707.98,0.084,0.056,0.066,0.0167,0.0246,0.0094,0.56,SAPS S2,Hybrid,Hybrid,39142.85,20917.94,2026-12-31,Active
MBR0000039,EMP000039,682894/38/4,Member39,Surname363,Male,2002-01-13,2023-04-30,2023-12-13,Deferred,Client Services,Parastatal,65.0,2067-04-29,24.0,3.0,2.84,41.0,71195.0,11796.9,6744.37,89736.27,60540.41,726484.92,0.1,0.1,6054.04,6054.04,12108.08,179766.9,214306.8,394073.7,0.0739,0.0461,0.069,0.02,0.0398,0.0068,0.58,SAPS S2,DB,Defined Benefit,384190.52,338087.66,2026-12-31,Inactive
MBR0000040,EMP000040,752593/90/3,Member40,Surname210,Male,1981-08-24,2023-04-30,2024-01-02,Retired,Client Services,Public,65.0,2046-04-29,45.0,3.0,2.89,20.0,33488.0,7114.28,3999.36,44601.64,31134.2,373610.4,0.08,0.1,2490.74,3113.42,5604.16,105718.25,106090.51,211808.76,0.0922,0.0561,0.0669,0.02,0.0303,0.0053,0.57,PA(90),DC,Defined Contribution,92755.26,42667.42,2026-12-31,Active
MBR0000041,EMP000041,591369/72/7,Member41,Surname476,Male,1991-03-01,2024-04-29,2024-12-24,Retired,Technology,Public,65.0,2056-04-28,35.0,2.0,1.92,30.0,4632.0,1003.86,510.65,6146.51,4108.59,49303.08,0.08,0.08,328.69,328.69,657.38,7179.07,6748.36,13927.43,0.0785,0.067,0.0773,0.02,0.0277,0.007,0.55,PA(90),Hybrid,Hybrid,28749.18,18399.48,2026-12-31,Inactive
MBR0000042,EMP000042,118813/76/8,Member42,Surname382,Male,1986-02-22,2015-04-30,2015-05-08,Retired,Investment,Parastatal,65.0,2051-04-29,40.0,11.0,10.74,25.0,15322.0,3683.27,1682.03,20687.3,13764.25,165171.0,0.07,0.1,963.5,1376.43,2339.93,133907.51,169632.71,303540.22,0.0773,0.0765,0.0777,0.025,0.0344,0.0057,0.54,SAPS S2,Hybrid,Hybrid,86916.74,78225.07,2026-12-31,Active
MBR0000043,EMP000043,123762/47/4,Member43,Surname310,Male,1991-07-27,2019-04-30,2019-11-29,Active,Technology,Public,65.0,2056-04-28,35.0,7.0,6.95,30.0,44481.0,5567.02,2247.42,52295.44,40051.56,480618.72,0.08,0.12,3204.12,4806.19,8010.31,230209.15,448021.91,678231.06,0.0735,0.0556,0.08,0.0167,0.0494,0.0026,0.52,A1967-70,Hybrid,Hybrid,203049.01,125463.98,2026-12-31,Active
MBR0000044,EMP000044,260050/47/2,Member44,Surname26,Male,1983-12-13,2021-04-29,2021-12-27,Active,Investment,Parastatal,60.0,2044-04-28,42.0,5.0,4.84,18.0,10116.0,1849.49,860.4,12825.89,9639.78,115677.36,0.08,0.15,771.18,1445.97,2217.15,55514.26,87329.4,142843.66,0.0729,0.0691,0.0793,0.02,0.0306,0.0083,0.64,PMA92,DB,Defined Benefit,32092.02,14762.33,2026-12-31,Active
MBR0000045,EMP000045,407983/24/1,Member45,Surname74,Male,1988-07-03,2021-04-29,2022-01-27,Active,Operations,Private,65.0,2053-04-28,38.0,5.0,4.93,27.0,7465.0,1730.84,423.46,9619.3,6517.16,78205.92,0.07,0.08,456.2,521.37,977.57,22475.77,25032.25,47508.02,0.0831,0.071,0.051,0.02,0.0447,0.0063,0.64,SAPS S2,Hybrid,Hybrid,41531.16,26579.94,2026-12-31,Active
MBR0000046,EMP000046,988963/68/2,Member46,Surname224,Male,1981-02-03,2011-04-30,2011-08-01,Active,Operations,Private,65.0,2046-04-29,45.0,15.0,14.09,20.0,17003.0,2638.62,1111.03,20752.65,14984.01,179808.12,0.08,0.08,1198.72,1198.72,2397.44,180036.63,187831.01,367867.64,0.0753,0.0729,0.062,0.025,0.0463,0.0098,0.65,A1967-70,Hybrid,Hybrid,61208.67,53557.59,2026-12-31,Active
MBR0000047,EMP000047,219048/56/2,Member47,Surname158,Male,1984-03-04,2005-04-29,2005-08-12,Deferred,Finance,Private,65.0,2049-04-28,42.0,21.0,20.08,23.0,36527.0,7545.74,1894.31,45967.05,31318.94,375827.28,0.08,0.1,2505.52,3131.89,5637.41,570824.14,763556.45,1334380.59,0.0927,0.0731,0.0668,0.02,0.0403,0.0025,0.5,PMA92,Hybrid,Hybrid,158683.41,139641.4,2026-12-31,Active
MBR0000048,EMP000048,262261/38/3,Member48,Surname181,Female,1971-03-09,1998-04-29,1998-06-30,Deferred,Human Resources,Private,65.0,2036-04-28,55.0,28.0,25.35,10.0,97609.0,10631.87,6350.68,114591.55,91544.13,1098529.56,0.06,0.12,5492.65,10985.3,16477.95,1634469.85,3099246.4,4733716.25,0.0762,0.0569,0.0553,0.0167,0.0307,0.0041,0.6,SAPS S2,DC,Defined Contribution,159209.68,101034.46,2026-12-31,Active
MBR0000049,EMP000049,821208/97/3,Member49,Surname249,Female,2002-11-27,2023-04-30,2023-06-05,Active,Finance,Public,60.0,2063-04-29,23.0,3.0,2.85,37.0,6097.0,1389.25,626.77,8113.02,5932.21,71186.52,0.07,0.15,415.25,889.83,1305.08,12223.35,30768.73,42992.08,0.0797,0.0779,0.0673,0.025,0.0491,0.005,0.57,A1967-70,Hybrid,Hybrid,95196.28,95196.28,2026-12-31,Active
MBR0000050,EMP000050,432835/38/8,Member50,Surname173,Male,1976-07-03,2019-04-30,2019-07-09,Active,Executive,Parastatal,60.0,2036-04-28,50.0,7.0,6.57,10.0,15071.0,2430.96,1208.79,18710.75,14241.68,170900.16,0.1,0.15,1424.17,2136.25,3560.42,114437.94,167189.8,281627.74,0.0835,0.0627,0.0639,0.02,0.0228,0.0033,0.62,PA(90),DC,Defined Contribution,26161.82,8895.02,2026-12-31,Active
MBR0000051,EMP000051,235928/85/2,Member51,Surname248,Male,1971-04-08,1999-04-30,2000-01-30,Retired,Actuarial,Parastatal,60.0,2031-04-29,55.0,27.0,25.56,5.0,19130.0,3832.55,1026.9,23989.45,18973.67,227684.04,0.07,0.15,1328.16,2846.05,4174.21,443918.2,739399.8,1183318.0,0.0712,0.0672,0.0669,0.0167,0.0202,0.0083,0.56,PA(90),DC,Defined Contribution,26265.18,14036.11,2026-12-31,Active
MBR0000052,EMP000052,756474/64/8,Member52,Surname213,Male,1968-04-06,2023-04-30,2023-08-06,Active,Risk Management,Parastatal,60.0,2028-04-28,58.0,3.0,2.81,2.0,13959.0,3417.34,1639.49,19015.83,13656.74,163880.88,0.06,0.12,819.4,1638.81,2458.21,33960.3,56034.65,89994.95,0.073,0.0724,0.0645,0.02,0.0325,0.0029,0.64,SAPS S2,DC,Defined Contribution,15705.82,1570.58,2026-12-31,Active
MBR0000053,EMP000053,560846/94/2,Member53,Surname203,Male,1974-07-09,2002-04-29,2003-03-14,Active,Corporate Affairs,Private,55.0,2029-04-28,52.0,24.0,23.54,3.0,13564.0,1688.84,1312.77,16565.61,12295.9,147550.8,0.08,0.08,983.67,983.67,1967.34,278959.93,285818.4,564778.33,0.0764,0.0456,0.0557,0.02,0.0492,0.0026,0.61,A1967-70,DB,Defined Benefit,14055.85,7590.16,2026-12-31,Active
MBR0000054,EMP000054,162302/91/7,Member54,Surname284,Female,1989-05-25,2023-04-30,2023-10-04,Active,Operations,Private,55.0,2044-04-28,37.0,3.0,2.82,18.0,149354.0,15840.47,14846.65,180041.12,133711.37,1604536.44,0.1,0.08,13371.14,10696.91,24068.05,565286.16,437072.01,1002358.17,0.0735,0.0424,0.075,0.0167,0.0334,0.0025,0.66,PA(90),Hybrid,Hybrid,282349.87,99020.1,2026-12-31,Active
MBR0000055,EMP000055,876293/44/3,Member55,Surname181,Male,1982-07-16,2021-04-29,2022-04-15,Active,Investment,Parastatal,55.0,2037-04-28,44.0,5.0,4.7,11.0,41235.0,10159.67,4492.59,55887.26,40884.81,490617.72,0.06,0.12,2453.09,4906.18,7359.27,149874.52,299492.33,449366.85,0.097,0.0789,0.0711,0.02,0.0227,0.0026,0.63,PMA92,DC,Defined Contribution,94266.01,30165.12,2026-12-31,Active
MBR0000056,EMP000056,816743/27/5,Member56,Surname400,Female,1969-03-20,2022-04-29,2022-05-11,Active,Research & Analytics,Public,60.0,2029-04-28,57.0,4.0,3.85,3.0,7878.0,1397.27,910.16,10185.43,7851.05,94212.6,0.06,0.08,471.06,628.08,1099.14,19477.93,24881.96,44359.89,0.0759,0.0627,0.0774,0.02,0.0459,0.0096,0.56,PA(90),DC,Defined Contribution,9422.36,1319.13,2026-12-31,Active
MBR0000057,EMP000057,128328/55/8,Member57,Surname218,Male,1987-05-23,2014-04-29,2015-04-09,Active,Technology,Parastatal,60.0,2047-04-29,39.0,12.0,11.99,21.0,5702.0,844.52,545.82,7092.34,5422.19,65066.28,0.07,0.1,379.55,542.22,921.77,59506.54,67737.97,127244.51,0.0981,0.0475,0.0532,0.02,0.0346,0.0058,0.57,PA(90),DC,Defined Contribution,14368.43,9483.16,2026-12-31,Active
